Nvit_RNA16008_R3	gene_0
Amel_RNA29192_R1	gene_302
Lhum_RNA286_R0	gene_303
Lhum_RNA285_R0	gene_303
Dqua_RNA6670_R0	gene_304
Sinv_RNA21820_R0	gene_305
Cbir_RNA23028_R9	gene_306
Sinv_RNA13208_R0	gene_307
Lhum_RNA593_R3	gene_308
Sinv_RNA22218_R0	gene_308
Sinv_RNA20282_R6	gene_308
Lhum_RNA417_R0	gene_309
Lhum_RNA590_R0	gene_309
Sinv_RNA22058_R0	gene_309
Cbir_RNA22125_R0	gene_310
Dmel_RNA27934_R0	gene_311
Lhum_RNA12068_R5	gene_312
Cbir_RNA24644_R8	gene_313
Lhum_RNA290_R0	gene_314
Mpha_RNA14043_R0	gene_314
Sinv_RNA9668_R8	gene_315
Lhum_RNA6659_R7	gene_316
Sinv_RNA19222_R5	gene_317
Cbir_RNA13_R7	gene_318
Dqua_RNA6392_R6	gene_319
Cbir_RNA11782_R0	gene_320
Sinv_RNA13208_R1	gene_321
Lhum_RNA2183_R1	gene_322
Lhum_RNA294_R0	gene_323
Lhum_RNA295_R0	gene_324
Sinv_RNA17894_R2	gene_325
Nvit_RNA25722_R5	gene_326
Aech_RNA637_R2	gene_327
Sinv_RNA21137_R3	gene_328
Lhum_RNA300_R0	gene_329
Lhum_RNA302_R0	gene_329
Lhum_RNA306_R0	gene_330
Lhum_RNA307_R0	gene_331
Mpha_RNA2825_R3	gene_331
Cbir_RNA16166_R2	gene_331
Nvit_RNA26011_R1	gene_332
Mpha_RNA9513_R2	gene_333
Sinv_RNA11913_R3	gene_334
Cbir_RNA18437_R3	gene_335
Mpha_RNA1583_R1	gene_336
Nvit_RNA25661_R2	gene_337
Cbir_RNA18141_R1	gene_338
Sinv_RNA21440_R0	gene_339
Sinv_RNA10362_R4	gene_340
Lhum_RNA311_R0	gene_341
Lhum_RNA21616_R2	gene_341
Lhum_RNA693_R2	gene_342
Cbir_RNA14074_R9	gene_343
Cbir_RNA11005_R2	gene_344
Cbir_RNA14152_R9	gene_345
Cbir_RNA14149_R2	gene_346
Dqua_RNA23465_R7	gene_347
Lhum_RNA314_R0	gene_348
Lhum_RNA8_R3	gene_349
Lhum_RNA13971_R1	gene_349
Mpha_RNA18336_R3	gene_349
Lhum_RNA7187_R5	gene_350
Sinv_RNA13209_R0	gene_351
Lhum_RNA7431_R2	gene_352
Mpha_RNA7098_R1	gene_353
Lhum_RNA4740_R8	gene_354
Aech_RNA7846_R3	gene_355
Lhum_RNA7469_R2	gene_356
Dmel_RNA1211_R0	gene_357
Lhum_RNA321_R0	gene_358
Lhum_RNA322_R0	gene_359
Lhum_RNA325_R0	gene_360
Lhum_RNA1936_R8	gene_361
Sinv_RNA21287_R3	gene_362
Lhum_RNA327_R0	gene_363
Cbir_RNA6921_R5	gene_364
Mpha_RNA3275_R1	gene_365
Lhum_RNA329_R0	gene_366
Mpha_RNA19264_R0	gene_367
Lhum_RNA330_R0	gene_368
Sinv_RNA8208_R6	gene_369
Cbir_RNA1184_R5	gene_370
Lhum_RNA332_R0	gene_371
Lhum_RNA333_R0	gene_371
Cbir_RNA9720_R3	gene_372
Lhum_RNA336_R0	gene_373
Lhum_RNA335_R0	gene_373
Sinv_RNA21520_R0	gene_374
Lhum_RNA7475_R2	gene_375
Cbir_RNA171_R4	gene_376
Dqua_RNA12781_R1	gene_377
Lhum_RNA4050_R9	gene_378
Sinv_RNA12409_R0	gene_379
Lhum_RNA342_R0	gene_380
Lhum_RNA344_R0	gene_381
Amel_RNA15120_R0	gene_381
Sinv_RNA3580_R0	gene_381
Cbir_RNA5149_R0	gene_382
Dmel_RNA5811_R0	gene_382
Aech_RNA19121_R0	gene_383
Lhum_RNA349_R0	gene_384
Cbir_RNA15703_R1	gene_385
Nvit_RNA10146_R1	gene_386
Lhum_RNA347_R0	gene_387
Cbir_RNA5144_R0	gene_387
Cbir_RNA5145_R0	gene_387
Lhum_RNA351_R0	gene_388
Sinv_RNA18320_R4	gene_389
Lhum_RNA354_R0	gene_390
Sinv_RNA22089_R0	gene_390
Cbir_RNA1179_R1	gene_390
Mpha_RNA1473_R4	gene_390
Lhum_RNA357_R0	gene_391
Lhum_RNA358_R0	gene_392
Cbir_RNA4402_R4	gene_392
Lhum_RNA356_R0	gene_393
Lhum_RNA359_R0	gene_394
Mpha_RNA14043_R1	gene_395
Aech_RNA7846_R9	gene_396
Cbir_RNA23340_R5	gene_397
Lhum_RNA362_R0	gene_398
Lhum_RNA8417_R1	gene_399
Lhum_RNA2590_R1	gene_400
Lhum_RNA364_R0	gene_400
Lhum_RNA238_R2	gene_400
Cbir_RNA10805_R2	gene_400
Mpha_RNA8743_R2	gene_400
Lhum_RNA365_R0	gene_401
Lhum_RNA7464_R0	gene_401
Sinv_RNA17438_R3	gene_402
Nvit_RNA5849_R3	gene_403
Lhum_RNA8163_R2	gene_404
Lhum_RNA371_R0	gene_405
Lhum_RNA369_R0	gene_405
Sinv_RNA5686_R3	gene_405
Lhum_RNA13971_R6	gene_405
Sinv_RNA10983_R1	gene_405
Sinv_RNA14755_R2	gene_406
Cbir_RNA20782_R0	gene_407
Aech_RNA9965_R3	gene_408
Aech_RNA3312_R1	gene_409
Lhum_RNA378_R0	gene_410
Lhum_RNA384_R0	gene_411
Sinv_RNA19497_R0	gene_411
Lhum_RNA388_R0	gene_412
Dqua_RNA20725_R0	gene_412
Dqua_RNA20726_R0	gene_412
Lhum_RNA390_R0	gene_413
Lhum_RNA392_R0	gene_414
Lhum_RNA391_R0	gene_414
Lhum_RNA396_R0	gene_414
Lhum_RNA394_R0	gene_414
Sinv_RNA18612_R0	gene_414
Dqua_RNA20721_R0	gene_414
Dmel_RNA19768_R0	gene_414
Lhum_RNA398_R0	gene_415
Lhum_RNA401_R0	gene_416
Lhum_RNA402_R0	gene_416
Lhum_RNA400_R0	gene_416
Cbir_RNA23342_R0	gene_416
Cbir_RNA23343_R0	gene_416
Dmel_RNA14968_R0	gene_416
Lhum_RNA7469_R8	gene_417
Aech_RNA3313_R0	gene_418
Lhum_RNA374_R0	gene_419
Mpha_RNA11408_R0	gene_420
Lhum_RNA375_R0	gene_421
Lhum_RNA379_R0	gene_422
Cbir_RNA19434_R0	gene_422
Dmel_RNA32470_R0	gene_422
Lhum_RNA381_R0	gene_423
Amel_RNA4976_R0	gene_423
Lhum_RNA382_R0	gene_424
Lhum_RNA385_R0	gene_425
Lhum_RNA386_R0	gene_426
Sinv_RNA18617_R0	gene_426
Lhum_RNA389_R0	gene_427
Lhum_RNA410_R0	gene_428
Dqua_RNA1579_R0	gene_428
Lhum_RNA11204_R6	gene_429
Cbir_RNA20251_R3	gene_429
Lhum_RNA6963_R4	gene_429
Mpha_RNA3926_R0	gene_430
Mpha_RNA19809_R8	gene_431
Lhum_RNA411_R1	gene_432
Cbir_RNA14148_R0	gene_432
Lhum_RNA268_R6	gene_432
Cbir_RNA23191_R2	gene_432
Dqua_RNA22475_R2	gene_432
Lhum_RNA5087_R1	gene_433
Mpha_RNA20551_R3	gene_434
Lhum_RNA417_R3	gene_435
Lhum_RNA590_R3	gene_435
Sinv_RNA22058_R1	gene_435
Lhum_RNA593_R4	gene_436
Lhum_RNA287_R1	gene_436
Lhum_RNA419_R1	gene_436
Sinv_RNA22218_R1	gene_436
Mpha_RNA6828_R6	gene_436
Sinv_RNA20282_R7	gene_436
Sinv_RNA16627_R4	gene_436
Lhum_RNA3690_R5	gene_436
Cbir_RNA18872_R3	gene_436
Mpha_RNA1685_R0	gene_437
Lhum_RNA102_R6	gene_438
Dqua_RNA14726_R6	gene_439
Lhum_RNA2183_R7	gene_440
Cbir_RNA171_R8	gene_441
Sinv_RNA20268_R7	gene_442
Lhum_RNA425_R0	gene_443
Lhum_RNA12816_R1	gene_444
Aech_RNA20677_R0	gene_445
Cbir_RNA18427_R6	gene_446
Sinv_RNA6043_R0	gene_447
Sinv_RNA19576_R5	gene_448
Cbir_RNA16797_R1	gene_449
Cbir_RNA6279_R1	gene_450
Sinv_RNA17686_R1	gene_451
Lhum_RNA430_R0	gene_452
Lhum_RNA431_R1	gene_453
Lhum_RNA2103_R1	gene_454
Lhum_RNA2104_R1	gene_455
Sinv_RNA9717_R2	gene_456
Cbir_RNA14386_R1	gene_457
Lhum_RNA38_R1	gene_458
Sinv_RNA9642_R0	gene_459
Lhum_RNA438_R0	gene_460
Lhum_RNA440_R0	gene_461
Lhum_RNA2168_R2	gene_462
Mpha_RNA3925_R7	gene_463
Cbir_RNA24644_R2	gene_464
Cbir_RNA20822_R5	gene_465
Sinv_RNA21759_R3	gene_466
Lhum_RNA442_R0	gene_467
Lhum_RNA443_R0	gene_468
Lhum_RNA444_R0	gene_469
Lhum_RNA445_R0	gene_470
Lhum_RNA446_R0	gene_471
Lhum_RNA13792_R2	gene_472
Lhum_RNA447_R0	gene_472
Sinv_RNA18168_R0	gene_473
Cbir_RNA24650_R1	gene_474
Lhum_RNA4955_R9	gene_475
Sinv_RNA19958_R1	gene_476
Dqua_RNA17741_R7	gene_477
Lhum_RNA537_R5	gene_478
Lhum_RNA43_R5	gene_479
Aech_RNA17026_R7	gene_480
Dqua_RNA3179_R9	gene_481
Dqua_RNA3353_R6	gene_482
Aech_RNA18823_R3	gene_483
Sinv_RNA21137_R9	gene_484
Lhum_RNA450_R0	gene_485
Lhum_RNA4792_R1	gene_486
Lhum_RNA503_R1	gene_487
Cbir_RNA18128_R0	gene_488
Sinv_RNA12431_R0	gene_489
Lhum_RNA453_R0	gene_490
Lhum_RNA454_R0	gene_491
Lhum_RNA455_R0	gene_492
Lhum_RNA456_R0	gene_492
Lhum_RNA457_R0	gene_493
Lhum_RNA1003_R2	gene_494
Lhum_RNA14452_R8	gene_495
Lhum_RNA460_R0	gene_496
Sinv_RNA14755_R0	gene_497
Sinv_RNA19074_R1	gene_497
Dmel_RNA30814_R6	gene_498
Lhum_RNA5090_R3	gene_499
Lhum_RNA2212_R6	gene_500
Sinv_RNA18064_R4	gene_501
Cbir_RNA19242_R3	gene_502
Cbir_RNA16918_R2	gene_503
Lhum_RNA464_R0	gene_504
Lhum_RNA469_R0	gene_505
Dmel_RNA5_R0	gene_505
Lhum_RNA471_R0	gene_506
Aech_RNA8613_R1	gene_507
Lhum_RNA479_R0	gene_508
Lhum_RNA478_R0	gene_508
Cbir_RNA9585_R0	gene_508
Aech_RNA7566_R0	gene_509
Lhum_RNA482_R0	gene_510
Mpha_RNA22676_R0	gene_510
Lhum_RNA487_R0	gene_511
Lhum_RNA488_R0	gene_511
Amel_RNA10350_R0	gene_511
Dmel_RNA18477_R0	gene_511
Lhum_RNA491_R0	gene_512
Dmel_RNA17104_R0	gene_512
Lhum_RNA492_R0	gene_513
Lhum_RNA493_R0	gene_513
Dqua_RNA369_R0	gene_513
Sinv_RNA4024_R0	gene_513
Lhum_RNA495_R0	gene_514
Lhum_RNA465_R0	gene_515
Lhum_RNA470_R0	gene_516
Sinv_RNA14925_R0	gene_516
Lhum_RNA475_R0	gene_517
Lhum_RNA476_R0	gene_518
Lhum_RNA480_R0	gene_519
Cbir_RNA9587_R0	gene_520
Lhum_RNA483_R0	gene_521
Lhum_RNA484_R0	gene_521
Lhum_RNA486_R0	gene_522
Lhum_RNA490_R0	gene_523
Lhum_RNA494_R0	gene_524
Lhum_RNA496_R0	gene_525
Cbir_RNA18734_R4	gene_526
Mpha_RNA6752_R2	gene_527
Cbir_RNA19727_R4	gene_528
Sinv_RNA18064_R5	gene_529
Cbir_RNA14149_R9	gene_530
Nvit_RNA25384_R3	gene_531
Lhum_RNA850_R7	gene_532
Lhum_RNA6508_R5	gene_533
Mpha_RNA1979_R0	gene_534
Lhum_RNA502_R0	gene_535
Lhum_RNA503_R0	gene_536
Mpha_RNA8743_R6	gene_537
Lhum_RNA7544_R1	gene_538
Sinv_RNA11487_R7	gene_539
Lhum_RNA505_R0	gene_540
Mpha_RNA1022_R4	gene_541
Sinv_RNA17011_R5	gene_542
Lhum_RNA916_R5	gene_543
Lhum_RNA510_R0	gene_544
Sinv_RNA3852_R0	gene_545
Lhum_RNA2149_R1	gene_546
Lhum_RNA450_R7	gene_547
Lhum_RNA871_R8	gene_548
Lhum_RNA8299_R2	gene_549
Lhum_RNA514_R0	gene_550
Cbir_RNA156_R3	gene_551
Lhum_RNA6962_R9	gene_552
Lhum_RNA13460_R5	gene_553
Amel_RNA15293_R3	gene_554
Mpha_RNA5415_R0	gene_555
Lhum_RNA518_R0	gene_556
Nvit_RNA8913_R0	gene_557
Dqua_RNA11362_R0	gene_558
Lhum_RNA523_R0	gene_559
Cbir_RNA19359_R4	gene_560
Nvit_RNA5418_R1	gene_561
Lhum_RNA526_R0	gene_562
Lhum_RNA2577_R1	gene_562
Cbir_RNA24557_R2	gene_562
Sinv_RNA5686_R6	gene_562
Cbir_RNA14532_R6	gene_562
Lhum_RNA13971_R7	gene_562
Lhum_RNA527_R0	gene_563
Lhum_RNA7700_R3	gene_564
Mpha_RNA329_R1	gene_565
Lhum_RNA528_R0	gene_566
Lhum_RNA3464_R1	gene_567
Sinv_RNA17914_R9	gene_568
Sinv_RNA22201_R3	gene_569
Lhum_RNA634_R2	gene_570
Lhum_RNA530_R0	gene_571
Lhum_RNA534_R0	gene_571
Lhum_RNA533_R0	gene_571
Sinv_RNA18912_R0	gene_571
Nvit_RNA26347_R5	gene_572
Lhum_RNA535_R0	gene_573
Lhum_RNA43_R2	gene_574
Cbir_RNA21944_R8	gene_574
Aech_RNA5778_R0	gene_575
Cbir_RNA13688_R1	gene_576
Nvit_RNA16889_R0	gene_577
Lhum_RNA542_R0	gene_577
Lhum_RNA547_R0	gene_578
Lhum_RNA548_R0	gene_578
Cbir_RNA7179_R0	gene_578
Cbir_RNA7180_R0	gene_578
Amel_RNA16384_R0	gene_578
Nvit_RNA24090_R0	gene_578
Dmel_RNA9505_R0	gene_578
Lhum_RNA551_R0	gene_579
Dqua_RNA17484_R5	gene_580
Lhum_RNA538_R0	gene_581
Lhum_RNA537_R0	gene_581
Lhum_RNA1037_R2	gene_581
Lhum_RNA540_R0	gene_582
Nvit_RNA11530_R2	gene_582
Nvit_RNA6623_R2	gene_582
Lhum_RNA541_R0	gene_583
Mpha_RNA23647_R0	gene_583
